weight_scenario,W1_linear,W2_linear,W3_linear,W4_linear,W5_linear,W6_linear,W7_linear,W8_linear,W9_linear,W10_linear
W1_linear,1,0.886,0.886,0.886,0.886,0.886,0.943,0.886,0.886,0.943
W2_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W3_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W4_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W5_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W6_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W7_linear,0.943,0.943,0.943,0.943,0.943,0.943,1,0.943,0.943,0.886
W8_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W9_linear,0.886,1,1,1,1,1,0.943,1,1,0.771
W10_linear,0.943,0.771,0.771,0.771,0.771,0.771,0.886,0.771,0.771,1
