species,initial_state,year_0,year_25,year_50,year_75,year_100
Acer campestre,Dry,0.6043745544048907,1.6467551801446576,3.838172399123831,6.932230887147887,9.804797344457885
Acer campestre,Intermediate,0.7783286492300476,2.1256067839243364,4.535655890546965,7.1715224180369885,9.41582222525634
Acer campestre,Moist,0.7975555712976401,2.4753251939144856,5.8872916616161515,10.31418897693404,14.12311049895058
Acer campestre,Mean,0.7267529249775262,2.082562385994493,4.753706650428983,8.139314094039639,11.114576689554935
Acer platanoides,Dry,0.5481810751056894,1.551156743421114,3.0329369345353014,4.689760245913223,6.2300893779554105
Acer platanoides,Intermediate,0.32730587526160065,0.8926569956991413,1.4470587720809358,1.7118207063572886,1.7581099467520933
Acer platanoides,Moist,1.015948573578849,1.0129946312867197,0.881027652791496,0.6111529569738474,0.32042040058903515
Acer platanoides,Mean,0.6304785079820463,1.152269456802325,1.7870077864692444,2.3375779697481196,2.7695399084321797
Acer pseudoplatanus,Dry,4.982184131203268,3.8453312008523084,2.886410778334688,2.015162022747617,1.09239277740675
Acer pseudoplatanus,Intermediate,3.0746137764785435,2.6216921987598205,2.046525108002809,1.3831450213177756,0.7772488427050738
Acer pseudoplatanus,Moist,3.0646807654027435,2.779008373099296,2.406435959746375,1.7111057438904151,0.992268032573554
Acer pseudoplatanus,Mean,3.7071595576948515,3.0820105909038085,2.446457282027957,1.7031375959852693,0.9539698842284592
Carpinus betulus,Dry,0.7565192496439109,1.2047007162627252,1.9654540229507043,3.0488805347721546,4.313976999032191
Carpinus betulus,Intermediate,2.524732414487364,4.231030081709469,6.31518586882089,8.663985087200228,11.084812566271745
Carpinus betulus,Moist,1.9970214839100728,3.0931050478352122,4.454362549869635,5.992786334818285,7.499584071981824
Carpinus betulus,Mean,1.7594243826804492,2.842945281935802,4.245000813880409,5.901883985596889,7.632791212428587
Fraxinus Excelsior,Dry,11.645182676983287,5.7287699151815135,2.799908100148374,1.308212843045544,0.5490806122696746
Fraxinus Excelsior,Intermediate,11.655720428936936,4.783816572151758,1.918768587299963,0.6762048462676696,0.12902157098839692
Fraxinus Excelsior,Moist,11.624255966758033,3.497595895288897,1.0414756808589456,0.24667204821345187,NA
Fraxinus Excelsior,Mean,11.641719690892753,4.670060794207389,1.9200507894357608,0.7436965791755552,0.22603406108602386
Quercus robur,Dry,7.553026826150239,6.200816312208773,4.922037678461184,3.800732031316886,2.868938576300957
Quercus robur,Intermediate,6.240927815081985,4.669636570884781,3.4214053594597287,2.4602504455097147,1.744148655908079
Quercus robur,Moist,3.289676610595085,2.3219861489039566,1.5974244027047426,1.0760734067458737,0.7122927624749031
Quercus robur,Mean,5.694543750609103,4.3974796773325036,3.3136224802085517,2.445685294524158,1.7751266648946464
Tilia spp.,Dry,2.2678668927146894,2.41714242521804,2.4366988248735133,2.2098452539825764,1.8583718629193189
Tilia spp.,Intermediate,1.8753409441871052,2.245506104418841,2.1736179519184655,1.8979862727715262,1.4430749379433498
Tilia spp.,Moist,2.2285451305945743,2.4242783980529974,2.456479548949151,2.0924993339713884,1.7387041783312898
Tilia spp.,Mean,2.123917655832123,2.3623089758966263,2.355598775247043,2.0667769535751637,1.6800503263979862
Ulmus spp.,Dry,0.3677980169497799,0.7830917857148395,0.693031190530999,0.38364157505290225,0.15219041701209068
Ulmus spp.,Intermediate,0.6631795199038014,0.5417709191291641,0.29609786872978966,0.11443722262487957,0.02959708299878229
Ulmus spp.,Moist,0.6851136956961572,0.8150592728665843,0.5121539592281474,0.18825605769248718,0.06799332848402931
Ulmus spp.,Mean,0.5720304108499128,0.7133073259035293,0.5004276728296454,0.228778285123423,0.08326027616496742
